Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,25000,42848,5,290852,54109.55,30.944%,26.63377,184.46,2.64,7091.9
Login,25000,25044,6,272382,43980.92,16.144%,26.63167,244.33,11.03,9394.6
List Products,25000,8046,0,272382,23462.76,16.868%,26.62903,2566.31,5.27,98685.5
Look at Product,25000,5774,0,272380,15152.60,15.064%,26.62580,2271.28,5.08,87350.9
Add Product to Cart,25000,13291,6,272380,27297.06,14.588%,26.62478,573.70,25.68,22064.7
List Products with different page,25000,4917,0,243365,14060.22,14.844%,26.62750,2631.78,17.78,101208.9
Add Product 2 to Cart,25000,13807,7,290038,27099.63,14.796%,26.62849,587.38,40.56,22587.6
Logout,25000,12603,7,282649,26662.85,5.736%,26.63607,269.94,38.82,10377.5
TOTAL,200000,15791,0,290852,33813.81,16.123%,212.92747,9324.97,146.80,44845.2
