Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,25000,40575,6,288890,55045.69,28.700%,25.73722,181.95,2.63,7239.0
Login,25000,23539,6,296962,43768.26,14.840%,25.73836,238.78,10.81,9499.9
List Products,25000,7695,0,282624,23903.62,16.784%,25.73891,2489.14,5.12,99028.3
Look at Product,25000,5957,0,233472,17109.94,15.320%,25.73846,2192.75,4.92,87238.4
Add Product to Cart,25000,14383,7,293290,31407.61,14.920%,25.74085,552.83,24.78,21992.2
List Products with different page,25000,4814,0,287750,15192.30,14.900%,25.74618,2548.01,17.21,101341.7
Add Product 2 to Cart,25000,14037,8,282750,29627.11,14.632%,25.74750,568.55,39.26,22611.9
Logout,25000,12804,9,288718,29234.13,5.780%,25.75517,261.05,37.60,10379.2
TOTAL,200000,15475,0,296962,34874.19,15.735%,205.82209,9028.10,142.23,44916.3
