Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,25000,41112,9,282441,51592.85,29.436%,26.73914,187.75,2.71,7189.9
Login,25000,23895,7,305157,42980.10,15.312%,26.73957,247.09,11.17,9462.4
List Products,25000,8748,0,258047,26012.11,16.612%,26.73957,2586.71,5.32,99058.8
Look at Product,25000,6815,0,249853,20487.46,14.844%,26.73900,2286.14,5.12,87550.2
Add Product to Cart,25000,13083,6,249858,27706.53,14.052%,26.73983,578.54,25.89,22155.1
List Products with different page,25000,4556,0,224282,12115.78,13.772%,26.74420,2676.95,18.07,102496.8
Add Product 2 to Cart,25000,14162,6,281985,29689.26,13.728%,26.74767,595.09,41.10,22782.1
Logout,25000,12567,6,261913,27078.18,5.836%,26.75591,271.03,39.20,10373.0
TOTAL,200000,15617,0,305157,33760.10,15.449%,213.83376,9424.88,148.47,45133.5
