Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,25000,40937,7,295860,52036.50,29.684%,26.50245,185.69,2.68,7174.8
Login,25000,25654,5,289536,47481.34,15.696%,26.49914,244.07,11.03,9431.5
List Products,25000,8144,0,282628,25287.63,16.292%,26.49338,2575.17,5.29,99533.5
Look at Product,25000,6385,0,282628,19637.56,14.744%,26.48330,2270.59,5.08,87794.3
Add Product to Cart,25000,13527,7,282623,28255.35,14.084%,26.48142,572.82,25.64,22150.2
List Products with different page,25000,4633,0,262853,12731.53,14.044%,26.48389,2644.53,17.85,102250.8
Add Product 2 to Cart,25000,13967,6,295850,29378.34,13.860%,26.48417,589.15,40.73,22779.4
Logout,25000,13134,8,282627,29724.71,5.804%,26.49077,268.49,38.79,10378.3
TOTAL,200000,15798,0,295860,34840.78,15.526%,211.76907,9344.85,146.99,45186.6
