Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,2500,662,18,2643,416.70,0.000%,25.13270,223.79,3.61,9118.0
Login,2500,1082,34,4279,644.34,0.000%,25.12639,261.52,14.66,10658.1
List Products,2500,1028,26,4512,593.64,0.000%,25.11023,2921.13,8.40,119124.3
Look at Product,2500,1526,42,5177,774.27,0.000%,25.08076,2568.43,8.08,104864.2
Add Product to Cart,2500,1985,49,5821,1011.76,0.000%,25.07347,622.11,30.37,25406.8
List Products with different page,2500,1043,28,4935,599.54,0.000%,25.07548,2921.48,20.26,119303.7
Add Product 2 to Cart,2500,2013,48,5754,1012.48,0.000%,25.06969,638.88,45.09,26095.8
Logout,2500,1108,24,3703,663.10,0.000%,25.08001,266.29,41.45,10872.5
TOTAL,20000,1306,18,5821,869.45,0.000%,199.90804,10382.02,171.27,53180.4
