Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,2500,716,22,3680,485.85,0.000%,24.35982,216.91,3.50,9118.0
Login,2500,1101,36,3801,674.93,0.000%,24.32096,253.14,14.19,10658.1
List Products,2500,1123,31,4496,631.84,0.000%,24.20534,2801.96,8.09,118536.0
Look at Product,2500,1692,57,5897,830.29,0.000%,24.13244,2457.41,7.77,104274.3
Add Product to Cart,2500,2052,63,6911,1010.65,0.000%,24.10591,598.02,29.18,25403.5
List Products with different page,2500,1146,28,4281,642.10,0.000%,24.10870,2795.73,19.47,118746.7
Add Product 2 to Cart,2500,2163,45,7087,1065.30,0.000%,24.11917,614.71,43.38,26097.9
Logout,2500,1139,22,4483,704.44,0.000%,24.12522,256.15,39.88,10872.2
TOTAL,20000,1392,22,7087,915.45,0.000%,192.20050,9940.99,164.65,52963.3
