Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,500,1338,41,3360,725.54,0.000%,8.85395,78.84,1.27,9118.0
Login,500,1412,78,3673,785.46,0.000%,8.76947,89.50,8.70,10450.7
List Products,500,902,58,2571,537.46,0.000%,8.74172,1023.54,6.53,119897.2
Look at Product,500,875,94,2649,493.06,0.000%,8.71992,954.88,6.41,112134.0
Add Product to Cart,500,1431,101,3685,711.02,0.000%,8.67935,231.08,14.67,27263.6
List Products with different page,500,864,67,2286,517.53,0.000%,8.67860,1014.33,7.59,119681.8
Add Product 2 to Cart,500,1457,83,3521,740.76,0.000%,8.67799,236.88,16.77,27951.3
Logout,500,1353,57,3467,750.25,0.000%,8.70292,91.99,15.47,10823.7
TOTAL,4000,1204,41,3685,713.63,0.000%,68.65067,3664.84,76.31,54665.0
