Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,500,953,39,1845,412.16,0.000%,11.53270,102.69,1.66,9118.0
Login,500,1017,53,2009,428.68,0.000%,11.36544,115.99,11.27,10450.6
List Products,500,632,63,1600,315.66,0.000%,11.27955,1319.27,8.43,119768.6
Look at Product,500,649,67,1478,290.18,0.000%,11.16520,1221.71,8.20,112047.4
Add Product to Cart,500,1066,78,1939,382.59,0.000%,11.05339,294.25,18.68,27259.7
List Products with different page,500,612,35,1575,283.09,0.000%,11.04240,1291.41,9.66,119757.2
Add Product 2 to Cart,500,1069,120,1906,377.49,0.000%,11.00158,300.23,21.25,27944.6
Logout,500,1019,66,1912,408.63,0.000%,10.99578,116.23,19.55,10823.7
TOTAL,4000,877,35,2009,414.35,0.000%,86.79990,4632.12,96.48,54646.2
