Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5000,1754,21,5890,944.69,0.000%,23.37978,208.18,3.36,9118.0
Login,5000,3040,39,8384,1731.79,0.000%,23.32198,243.33,12.42,10684.1
List Products,5000,2161,32,6993,1096.00,0.000%,23.22783,2690.30,6.57,118602.2
Look at Product,5000,2850,41,8412,1231.54,0.000%,23.15801,2337.74,6.26,103369.9
Add Product to Cart,5000,4176,56,10134,1957.89,0.000%,23.09970,567.92,26.60,25175.5
List Products with different page,5000,2203,33,7028,1117.00,0.000%,23.09085,2678.11,18.47,118765.0
Add Product 2 to Cart,5000,4256,59,9741,2006.95,0.000%,23.08552,583.18,41.15,25867.8
Logout,5000,3063,25,8622,1765.86,0.000%,23.08829,245.35,37.83,10881.6
TOTAL,40000,2938,21,10134,1756.63,0.000%,184.38618,9508.86,152.16,52808.0
