Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,5000,1641,21,4653,898.17,0.000%,23.99048,213.62,3.44,9118.0
Login,5000,2817,35,7512,1624.66,0.000%,23.94361,249.82,12.75,10684.1
List Products,5000,2044,29,6524,1040.01,0.000%,23.88071,2771.58,6.75,118844.7
Look at Product,5000,2693,47,7171,1186.38,0.000%,23.82223,2411.83,6.44,103672.9
Add Product to Cart,5000,3914,56,9211,1876.07,0.000%,23.79434,584.97,27.39,25174.5
List Products with different page,5000,2093,29,5876,1055.49,0.000%,23.79321,2766.33,19.03,119056.0
Add Product 2 to Cart,5000,3997,55,9921,1928.99,0.000%,23.79106,600.92,42.39,25864.6
Logout,5000,2893,20,7322,1670.25,0.000%,23.79377,252.80,38.97,10879.7
TOTAL,40000,2761,20,9921,1664.96,0.000%,190.05084,9820.24,156.79,52911.8
