Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,250,46,19,149,20.95,0.000%,19.64019,174.88,2.82,9118.0
Login,250,77,33,178,25.73,0.000%,19.79414,201.96,19.73,10448.0
List Products,250,80,26,194,28.55,0.000%,19.75816,2311.96,14.87,119821.4
Look at Product,250,145,37,317,51.35,0.000%,19.74412,2162.57,14.61,112158.5
Add Product to Cart,250,157,45,357,51.32,0.000%,19.71298,525.20,33.45,27281.8
List Products with different page,250,83,29,215,29.25,0.000%,19.73788,2305.97,17.28,119633.4
Add Product 2 to Cart,250,160,48,336,53.85,0.000%,19.70987,538.33,38.11,27968.4
Logout,250,60,26,140,22.13,0.000%,19.75192,208.76,35.14,10823.0
TOTAL,2000,101,19,357,57.04,0.000%,153.12763,8173.27,170.70,54656.6
