Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home,250,50,19,124,19.41,0.000%,19.06941,169.80,2.74,9118.0
Login,250,84,33,169,26.03,0.000%,19.09417,194.82,19.04,10448.0
List Products,250,90,25,260,32.95,0.000%,19.11169,2187.09,14.39,117183.7
Look at Product,250,156,38,368,63.27,0.000%,19.13070,2059.91,14.17,110260.0
Add Product to Cart,250,165,48,377,56.82,0.000%,19.13363,509.73,32.46,27279.9
List Products with different page,250,92,26,208,34.50,0.000%,19.18502,2201.34,16.79,117496.4
Add Product 2 to Cart,250,180,46,413,68.49,0.000%,19.16590,523.58,37.06,27973.8
Logout,250,66,20,187,25.96,0.000%,19.20861,203.02,34.21,10823.0
TOTAL,2000,111,19,413,64.08,0.000%,149.66699,7866.70,166.88,53822.8
